Requirement_ID,SRS_Section,Requirement_Summary,Qualification_Test_ID,Test_File_Actual_Path,Source_Artifact_Actual_Path,Layout_SRS_vs_Actual,Status,Evidence_Note
NFR-U4,§5.5,"Scenario Designer assembled + executed in <=5 user interactions from main console",UI-E2E-U4,frontend/tests/nfr_u4_scenario_designer.test.tsx,frontend/src/ScenarioDesigner/ScenarioDesigner.tsx,flat (SRS §9 shows no subdir; component lives in src/ScenarioDesigner),PASS,"4 tests: 1-click run; deselect-4-of-5 + run = 5 (tightest valid); from-Navigation + run = 2; name+seed+downstream+run = 4"
NFR-R2,§5.3,"Graceful degradation: usable when Pulse/WS unavailable; device telemetry still renders",UI-E2E-R2,frontend/tests/nfr_r_reliability.test.tsx,frontend/src/pages/TelemetryDashboard.tsx,flat,PASS,"dashboard stays interactive when socket never opens / fails; live device telemetry renders on connect"
NFR-R4,§5.3,"WebSocket auto-reconnect (exp backoff) + message replay of missed points",UI-E2E-R4,frontend/tests/nfr_r_reliability.test.tsx,frontend/src/hooks/useWebSocket.ts,flat,PASS,"auto-reconnect after server drop verified at UI; replay buffer flushed on reopen"
NFR-R1,§5.3,System uptime 99.9% (excl. planned maintenance),--,--,--,n/a,N/A (backend/infra),NEEDS_HITL,"No UI surface; confirm via production monitoring / SLO dashboards"
NFR-R3,§5.3,"DB connection pool auto-reconnect with exponential backoff",--,--,middleware/database.py,flat,N/A (backend),NEEDS_HITL,"No UI surface; verify via SQLAlchemy pool code review + chaos test"
FR-3.16.5,§3.16,Scenario Designer UI (assemble/configure/execute/inspect),UI-E2E-U4 + OQ-23,frontend/tests/nfr_u4_scenario_designer.test.tsx; tests/test_oq23_scenario_determinism.py,middleware/simulation/scenarios.py,flat,PASS,
FR-3.1.5,§3.1,Alarm visualization (trace red <=100ms),UI (tel dash),frontend/tests/telemetry_dashboard.test.tsx,frontend/src/pages/TelemetryDashboard.tsx,flat,PASS,
FR-3.6.1,§3.6,Pulse Engine initialization,OQ-16,tests/test_oq16_state_serialization.py,middleware/engine/pulse.py,flat,PASS,
FR-3.11,§3.11,PK/PD lab loop (integration),OQ-17,tests/test_oq17_pkpd_loop.py,middleware/simulation/pkpd.py,flat,PASS,
M2-DEV,§9,"Repo-layout deviation: SRS specifies middleware/src/...; actual is flat middleware/",--,--,"middleware/api; middleware/engine; middleware/simulation; middleware/ai; middleware/external; middleware/database.py",ACTUAL=flat vs SRS=middleware/src/*,ACCEPTABLE,"0 references to middleware/src in build/config/code (grep); Dockerfile CMD 'uvicorn api.main:app'; docker-compose 'alembic upgrade head'; qualification tests keep IQ/OQ/PQ IDs -> traceability by ID intact. Formal closure needs QA deviation memo (HITL)."
